AA change,k13_622I,crt_75E,crt_76T,crt_326S
GM001,0,1,1,1
GM002,0,0,0,0
GM003,1,1,1,1
GM004,1,1,1,1
GM005,1,1,1,1
GM006,0,1,1,1
GM008,0,1,1,1
GM010,0,1,1,1
GM011,1,0,0,0
GM012,0,1,1,1
GM013,1,1,1,1
GM014,1,1,1,1
GM015,1,1,1,1
GM016,0,1,1,1
GM020,0,1,1,1
GM023,1,1,1,1
GM024,1,0,0,0
GM025,1,1,1,1
GM026,0,1,1,1
GM027,1,1,1,1
GM028,1,1,1,1
GM029,0,1,1,1
GM030,0,1,1,1
GM032,1,1,1,1
GM034,0,0,0,0
GM035,1,0,0,0
GM036,1,1,1,1
GM038,0,1,1,1
GM039,1,1,1,1
GM040,1,1,1,1
GM041,0,0,0,0
GM042,0,1,1,1
GM044,0,1,1,1
GM045,0,1,1,1
GM046,1,1,1,1
GM047,0,1,1,1
GM048,1,1,1,1
GM049,1,1,1,1
GM051,0,1,1,1
GM052,0,0,0,0
GM053,1,1,1,1
GM054,1,1,1,1
GM055,1,1,1,1
GM057,1,1,1,1
GM058,1,1,1,1
GM061,0,1,1,1
GM062,0,1,1,1
GM065,1,1,1,1
GM066,1,1,1,1
GM067,1,1,1,1
GM068,0,1,1,1
GM069,1,1,1,1
GM070,0,1,1,1
GM071,0,1,1,1
GM073,0,1,1,1
GM075,1,1,1,1
GM076,0,1,1,1
GM077,0,1,1,1
GM078,0,1,1,1
GM079,0,1,1,1
GM080,1,0,0,0
GM083,0,0,0,0
GM085,0,1,1,1
GM088,1,1,1,1
GM089,0,0,0,0
GM091,0,1,1,1
GM092,1,1,1,1
GM093,0,1,1,1
GM095,0,1,1,1
GM097,0,1,1,1
GM098,1,0,0,0
GM099,0,1,1,1
GM100,0,1,1,1
GM101,0,1,1,1
GM102,0,1,1,1
GM103,0,1,1,1
GM105,0,0,0,0
GM106,1,1,1,1
GM108,0,0,0,0
GM109,0,1,1,1
GM110,0,1,1,1
GM111,1,1,1,1
GM112,1,1,1,1
GM113,0,1,1,1
GM114,1,1,1,1
GM116,1,1,1,1
GM118,0,0,0,0
GM119,0,1,1,1
GM120,0,1,1,1
GM121,0,1,1,1
GM122,0,1,1,1
GM123,0,1,1,1
GM124,0,0,0,0
GM126,0,1,1,1
GM127,1,1,1,1
GM130,0,1,1,1
GM131,1,1,1,1
GM132,1,1,1,1
GM133,1,1,1,1
GM134,1,1,1,1
GM136,0,0,0,0
GM137,1,1,1,0
GM138,0,0,0,0
GM140,1,1,1,1
GM141,1,1,1,1
GM142,1,1,1,1
GM143,1,1,1,1
GM144,1,1,1,1
GM148,0,0,0,0
GM149,0,1,1,1
GM150,0,1,1,1
GM151,1,0,0,0
GM152,1,1,1,1
GM153,0,0,0,0
GM154,0,1,1,1
GM155,0,1,1,1
GM156,1,1,1,1
GM157,1,1,1,1
GM159,1,1,1,1
GM160,1,0,0,0
GM161,0,1,1,1
GM162,0,0,0,0
GM163,1,1,1,1
GM164,0,0,0,0
GM165,1,1,1,1
GM168,1,1,1,1
GM169,0,1,1,0
GM170,0,1,1,1
GM172,1,1,1,1
GM173,1,0,0,1
GM175,1,1,1,1
GM176,1,1,1,1
GM179,0,1,1,1
GM180,0,1,1,1
GM181,0,1,1,1
GM185,0,1,1,1
GM186,0,1,1,1
GM187,0,1,1,1
GM188,0,1,1,1
GM190,0,1,1,1
GM194,1,1,1,1
GM195,1,1,1,1
GM196,0,1,1,1
GM197,0,1,1,1
GM198,1,1,1,1
GM199,1,1,1,1
GM200,1,1,1,1
GM201,1,1,1,1
GM202,0,1,1,1
GM203,0,1,1,1
GM204,0,1,1,1
GM206,1,1,1,1
GM207,0,1,1,1
GM208,0,1,1,1
GM209,1,1,1,1
GM210,0,1,1,1
GM211,1,0,0,0
GM212,1,0,0,0
GM213,1,1,1,1
GM215,0,1,1,1
GM216,1,1,1,1
GM217,1,1,1,1
GM218,1,1,1,1
GM220,0,1,1,0
GM221,0,1,1,1
GM224,0,1,1,1
GM225,0,1,1,1
GM226,1,1,1,1
GM227,0,1,1,1
GM228,1,1,1,1
GM229,1,1,1,1
GM231,0,1,1,1
GM232,0,1,1,1
GM234,0,1,1,1
GM236,0,0,0,0
GM237,0,1,1,1
GM241,1,1,1,1
GM244,1,1,1,1
GM246,0,1,1,1
GM249,1,1,1,1
GM250,1,1,1,1
GM254,0,1,1,1
GM255,1,0,0,1
GM256,0,1,1,1
GM257,1,1,1,1
GM258,1,1,1,1
GM259,0,1,1,1
GM260,0,1,1,1
GM261,0,1,1,1
GM263,0,0,0,0
GM265,0,1,1,0
GM266,0,1,1,0
GM267,0,1,1,1
GM269,1,1,1,1
GM271,1,1,1,1
GM272,0,1,1,1
GM273,0,0,0,0
GM274,0,1,1,1
GM275,0,1,1,1
